#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.205458E-05   0.833520E+07   0.833520E+07   0.111135E+08   0.111135E+08   0.000000E+00   0.833520E+07   0.833520E+07   0.834501E+07  -0.593900E+00   0.793133E+07   0.793133E+07   0.219824E+01
   0.209601E-05   0.833520E+07   0.833520E+07   0.111135E+08   0.111135E+08   0.000000E+00   0.833520E+07   0.833520E+07   0.834501E+07  -0.593900E+00   0.793133E+07   0.793133E+07   0.224258E+01
   0.213829E-05   0.833520E+07   0.833520E+07   0.111135E+08   0.111135E+08   0.000000E+00   0.833520E+07   0.833520E+07   0.834501E+07  -0.593900E+00   0.793133E+07   0.793133E+07   0.228780E+01
   0.218141E-05   0.833520E+07   0.833520E+07   0.111135E+08   0.111135E+08   0.000000E+00   0.833520E+07   0.833520E+07   0.834501E+07  -0.593900E+00   0.793133E+07   0.793133E+07   0.233395E+01
   0.222541E-05   0.833520E+07   0.833520E+07   0.111135E+08   0.111135E+08   0.000000E+00   0.833520E+07   0.833520E+07   0.834500E+07  -0.593900E+00   0.793133E+07   0.793133E+07   0.238102E+01
   0.227029E-05   0.833520E+07   0.833520E+07   0.111135E+08   0.111135E+08   0.000000E+00   0.833520E+07   0.833520E+07   0.834500E+07  -0.593900E+00   0.793133E+07   0.793133E+07   0.242904E+01
   0.231608E-05   0.833520E+07   0.833520E+07   0.111135E+08   0.111135E+08   0.000000E+00   0.833520E+07   0.833520E+07   0.834500E+07  -0.593900E+00   0.793133E+07   0.793133E+07   0.247803E+01
   0.236279E-05   0.833520E+07   0.833520E+07   0.111135E+08   0.111135E+08   0.000000E+00   0.833520E+07   0.833520E+07   0.834500E+07  -0.593900E+00   0.793133E+07   0.793133E+07   0.252800E+01
   0.241044E-05   0.833520E+07   0.833520E+07   0.111135E+08   0.111135E+08   0.000000E+00   0.833520E+07   0.833520E+07   0.834501E+07  -0.593900E+00   0.793133E+07   0.793133E+07   0.257899E+01
   0.245906E-05   0.833520E+07   0.833520E+07   0.111135E+08   0.111135E+08   0.000000E+00   0.833520E+07   0.833520E+07   0.834501E+07  -0.593900E+00   0.793133E+07   0.793133E+07   0.263100E+01
   0.250865E-05   0.833520E+07   0.833520E+07   0.111135E+08   0.111135E+08   0.000000E+00   0.833520E+07   0.833520E+07   0.834500E+07  -0.593900E+00   0.793133E+07   0.793133E+07   0.268406E+01
   0.255925E-05   0.833520E+07   0.833520E+07   0.111135E+08   0.111135E+08   0.000000E+00   0.833520E+07   0.833520E+07   0.834500E+07  -0.593900E+00   0.793133E+07   0.793133E+07   0.273820E+01
   0.261086E-05   0.833520E+07   0.833520E+07   0.111135E+08   0.111135E+08   0.000000E+00   0.833520E+07   0.833520E+07   0.834500E+07  -0.593900E+00   0.793133E+07   0.793133E+07   0.279342E+01
   0.266352E-05   0.833520E+07   0.833520E+07   0.111135E+08   0.111135E+08   0.000000E+00   0.833520E+07   0.833520E+07   0.834500E+07  -0.593900E+00   0.793133E+07   0.793133E+07   0.284976E+01
   0.271724E-05   0.833520E+07   0.833520E+07   0.111135E+08   0.111134E+08   0.000000E+00   0.833520E+07   0.833520E+07   0.834500E+07  -0.593900E+00   0.793133E+07   0.793133E+07   0.290723E+01
   0.277204E-05   0.833520E+07   0.833520E+07   0.111134E+08   0.111134E+08   0.000000E+00   0.833520E+07   0.833520E+07   0.834500E+07  -0.593900E+00   0.793133E+07   0.793133E+07   0.296587E+01
   0.282795E-05   0.833520E+07   0.833520E+07   0.111134E+08   0.111134E+08   0.000000E+00   0.833520E+07   0.833520E+07   0.834500E+07  -0.593900E+00   0.793133E+07   0.793133E+07   0.302568E+01
   0.288498E-05   0.833520E+07   0.833520E+07   0.111134E+08   0.111134E+08   0.000000E+00   0.833520E+07   0.833520E+07   0.834500E+07  -0.593900E+00   0.793133E+07   0.793133E+07   0.308670E+01
   0.294317E-05   0.833520E+07   0.833520E+07   0.111134E+08   0.111134E+08   0.000000E+00   0.833520E+07   0.833520E+07   0.834500E+07  -0.593900E+00   0.793133E+07   0.793133E+07   0.314896E+01
   0.300253E-05   0.833520E+07   0.833520E+07   0.111134E+08   0.111134E+08   0.000000E+00   0.833520E+07   0.833520E+07   0.834500E+07  -0.593900E+00   0.793133E+07   0.793133E+07   0.321246E+01
   0.306308E-05   0.833520E+07   0.833520E+07   0.111134E+08   0.111134E+08   0.000000E+00   0.833520E+07   0.833520E+07   0.834500E+07  -0.593900E+00   0.793133E+07   0.793133E+07   0.327725E+01
